STD,Type
23.02,Consensus
25.03,Consensus
31.67,Consensus
34.28,Consensus
36.31,Consensus
38.87,Consensus
92.28,Consensus
422.64,Consensus
657.41,Consensus
-99.91,Consensus
-82.11,Consensus
-80.29,Consensus
-78.16,Consensus
-69.37,Consensus
-66.33,Consensus
-65.01,Consensus
-64.07,Consensus
-62.05,Consensus
-60.54,Consensus
-56.18,Consensus
-44.98,Consensus
-43.56,Consensus
-42.01,Consensus
-42.00,Consensus
-41.71,Consensus
-41.26,Consensus
-37.39,Consensus
-36.23,Consensus
-35.26,Consensus
-34.71,Consensus
-34.31,Consensus
-31.77,Consensus
-31.02,Consensus
-30.03,Consensus
-29.49,Consensus
-29.41,Consensus
-28.39,Consensus
-27.15,Consensus
-25.38,Consensus
-25.01,Consensus
-24.85,Consensus
-24.10,Consensus
-23.54,Consensus
-20.85,Consensus
-20.73,Consensus
-20.68,Consensus
-20.61,Consensus
-20.07,Consensus
-19.81,Consensus
-19.56,Consensus
-19.51,Consensus
-19.29,Consensus
-19.07,Consensus
-18.54,Consensus
-18.26,Consensus
-17.57,Consensus
-16.02,Consensus
-15.58,Consensus
-15.24,Consensus
-14.55,Consensus
-14.16,Consensus
-14.11,Consensus
-14.10,Consensus
-13.77,Consensus
-13.36,Consensus
-13.18,Consensus
-13.10,Consensus
-12.73,Consensus
-12.28,Consensus
-12.25,Consensus
-11.71,Consensus
-11.54,Consensus
-11.23,Consensus
-10.80,Consensus
-10.36,Consensus
-10.30,Consensus
-10.09,Consensus
-9.81,Consensus
-9.78,Consensus
-9.69,Consensus
-9.60,Consensus
-9.30,Consensus
-8.84,Consensus
-8.47,Consensus
-8.01,Consensus
-7.96,Consensus
-7.93,Consensus
-7.11,Consensus
-7.11,Consensus
-7.04,Consensus
-6.80,Consensus
-6.34,Consensus
-6.05,Consensus
-5.80,Consensus
-5.67,Consensus
-5.31,Consensus
-5.21,Consensus
-5.20,Consensus
-5.07,Consensus
-4.63,Consensus
-4.24,Consensus
-4.12,Consensus
-3.97,Consensus
-3.50,Consensus
-3.33,Consensus
-3.32,Consensus
-3.31,Consensus
-3.01,Consensus
-2.89,Consensus
-2.77,Consensus
-2.39,Consensus
-2.34,Consensus
-2.31,Consensus
-1.98,Consensus
-1.88,Consensus
-1.76,Consensus
-1.71,Consensus
-1.66,Consensus
-1.39,Consensus
-1.37,Consensus
-0.59,Consensus
-0.43,Consensus
-0.31,Consensus
-0.31,Consensus
0.03,Consensus
0.38,Consensus
0.75,Consensus
0.89,Consensus
1.53,Consensus
2.20,Consensus
2.31,Consensus
2.92,Consensus
3.80,Consensus
5.19,Consensus
5.44,Consensus
6.94,Consensus
8.44,Consensus
9.09,Consensus
9.33,Consensus
9.77,Consensus
10.23,Consensus
10.70,Consensus
13.13,Consensus
13.67,Consensus
14.37,Consensus
14.90,Consensus
15.17,Consensus
18.80,Consensus
27.89,Consensus
30.32,Consensus
32.78,Consensus
45.43,Consensus
46.99,Consensus
53.06,Consensus
54.11,Consensus
-99.88,Consensus
-86.04,Consensus
-82.69,Consensus
-80.09,Consensus
-66.46,Consensus
-60.51,Consensus
-60.16,Consensus
-59.00,Consensus
-52.68,Consensus
-51.12,Consensus
-48.01,Consensus
-44.43,Consensus
-41.62,Consensus
-40.40,Consensus
-36.54,Consensus
-33.85,Consensus
-33.11,Consensus
-32.96,Consensus
-32.36,Consensus
-30.76,Consensus
-25.08,Consensus
-24.56,Consensus
-23.50,Consensus
-23.04,Consensus
-22.66,Consensus
-22.18,Consensus
-21.21,Consensus
-20.30,Consensus
-19.96,Consensus
-18.43,Consensus
-17.98,Consensus
-17.98,Consensus
-17.80,Consensus
-17.80,Consensus
-16.74,Consensus
-16.47,Consensus
-16.24,Consensus
-15.90,Consensus
-15.73,Consensus
-15.06,Consensus
-14.64,Consensus
-14.00,Consensus
-13.82,Consensus
-13.34,Consensus
-13.32,Consensus
-13.22,Consensus
-13.12,Consensus
-13.06,Consensus
-12.95,Consensus
-12.80,Consensus
-12.52,Consensus
-12.36,Consensus
-12.23,Consensus
-11.97,Consensus
-11.85,Consensus
-11.36,Consensus
-11.18,Consensus
-10.59,Consensus
-10.52,Consensus
-10.37,Consensus
-10.24,Consensus
-10.21,Consensus
-10.20,Consensus
-9.97,Consensus
-9.91,Consensus
-9.90,Consensus
-9.81,Consensus
-9.72,Consensus
-8.96,Consensus
-8.40,Consensus
-8.24,Consensus
-8.09,Consensus
-7.97,Consensus
-7.84,Consensus
-7.75,Consensus
-7.09,Consensus
-7.06,Consensus
-7.03,Consensus
-6.36,Consensus
-6.26,Consensus
-5.97,Consensus
-5.84,Consensus
-5.64,Consensus
-5.57,Consensus
-5.19,Consensus
-4.68,Consensus
-3.91,Consensus
-2.95,Consensus
-2.82,Consensus
-2.64,Consensus
-1.55,Consensus
-1.48,Consensus
-1.24,Consensus
-1.11,Consensus
-0.91,Consensus
-0.72,Consensus
-0.46,Consensus
-0.26,Consensus
-0.25,Consensus
-0.19,Consensus
-0.12,Consensus
0.35,Consensus
0.57,Consensus
0.67,Consensus
0.80,Consensus
0.83,Consensus
1.02,Consensus
1.07,Consensus
1.09,Consensus
1.23,Consensus
1.50,Consensus
1.56,Consensus
1.59,Consensus
1.77,Consensus
1.94,Consensus
2.57,Consensus
2.77,Consensus
2.80,Consensus
3.64,Consensus
4.48,Consensus
4.61,Consensus
4.89,Consensus
5.14,Consensus
5.48,Consensus
5.64,Consensus
6.45,Consensus
6.77,Consensus
7.41,Consensus
7.67,Consensus
7.71,Consensus
8.56,Consensus
9.09,Consensus
9.31,Consensus
11.05,Consensus
11.47,Consensus
12.60,Consensus
12.72,Consensus
12.90,Consensus
14.08,Consensus
14.09,Consensus
14.56,Consensus
15.83,Consensus
18.59,Consensus
19.70,Consensus
30.82,Consensus
37.87,Consensus
45.15,Consensus
289.06,Consensus
494.16,Consensus
501.00,Consensus
726.61,Consensus
"1,781.99",Consensus
-99.91,Consensus
-84.18,Consensus
-83.70,Consensus
-81.60,Consensus
-75.69,Consensus
-75.57,Consensus
-73.56,Consensus
-71.71,Consensus
-68.64,Consensus
-65.27,Consensus
-60.92,Consensus
-60.78,Consensus
-60.13,Consensus
-59.95,Consensus
-48.49,Consensus
-41.14,Consensus
-40.54,Consensus
-37.95,Consensus
-37.83,Consensus
-37.75,Consensus
-37.05,Consensus
-35.72,Consensus
-33.86,Consensus
-32.58,Consensus
-31.89,Consensus
-31.56,Consensus
-28.14,Consensus
-27.75,Consensus
-25.30,Consensus
-24.58,Consensus
-22.65,Consensus
-22.26,Consensus
-21.86,Consensus
-21.81,Consensus
-21.69,Consensus
-21.52,Consensus
-20.81,Consensus
-19.17,Consensus
-19.05,Consensus
-18.01,Consensus
-16.53,Consensus
-16.32,Consensus
-15.72,Consensus
-15.65,Consensus
-15.62,Consensus
-15.23,Consensus
-14.74,Consensus
-14.37,Consensus
-13.97,Consensus
-13.08,Consensus
-12.59,Consensus
-12.00,Consensus
-11.71,Consensus
-9.96,Consensus
-9.69,Consensus
-9.42,Consensus
-9.40,Consensus
-9.34,Consensus
-9.06,Consensus
-9.06,Consensus
-8.53,Consensus
-8.50,Consensus
-8.37,Consensus
-7.85,Consensus
-7.27,Consensus
-6.91,Consensus
-6.79,Consensus
-6.53,Consensus
-6.49,Consensus
-6.23,Consensus
-5.75,Consensus
-5.30,Consensus
-5.23,Consensus
-5.12,Consensus
-4.81,Consensus
-4.63,Consensus
-4.57,Consensus
-4.34,Consensus
-4.18,Consensus
-4.15,Consensus
-3.69,Consensus
-3.08,Consensus
-2.11,Consensus
-2.03,Consensus
-1.85,Consensus
-0.47,Consensus
-0.28,Consensus
0.23,Consensus
0.59,Consensus
0.66,Consensus
0.67,Consensus
0.74,Consensus
1.21,Consensus
1.49,Consensus
1.55,Consensus
1.58,Consensus
1.69,Consensus
2.01,Consensus
3.50,Consensus
3.60,Consensus
4.64,Consensus
4.79,Consensus
4.85,Consensus
4.89,Consensus
5.04,Consensus
5.20,Consensus
5.87,Consensus
6.34,Consensus
6.43,Consensus
6.46,Consensus
6.66,Consensus
6.85,Consensus
7.30,Consensus
7.57,Consensus
7.67,Consensus
8.37,Consensus
8.51,Consensus
8.59,Consensus
9.18,Consensus
9.83,Consensus
10.80,Consensus
10.95,Consensus
11.19,Consensus
11.96,Consensus
11.96,Consensus
12.31,Consensus
13.41,Consensus
13.79,Consensus
14.35,Consensus
14.68,Consensus
17.52,Consensus
18.46,Consensus
20.70,Consensus
21.09,Consensus
22.64,Consensus
23.12,Consensus
27.66,Consensus
28.04,Consensus
30.47,Consensus
30.57,Consensus
34.03,Consensus
44.29,Consensus
68.79,Consensus
78.89,Consensus
504.83,Consensus
-85.40,Consensus
-82.42,Consensus
-79.47,Consensus
-69.89,Consensus
-65.82,Consensus
-65.72,Consensus
-64.98,Consensus
-55.51,Consensus
-53.13,Consensus
-43.93,Consensus
-42.19,Consensus
-40.83,Consensus
-38.98,Consensus
-38.40,Consensus
-35.93,Consensus
-32.16,Consensus
-28.97,Consensus
-28.68,Consensus
-28.68,Consensus
-27.37,Consensus
-26.64,Consensus
-26.49,Consensus
-26.17,Consensus
-26.13,Consensus
-24.96,Consensus
-23.86,Consensus
-23.42,Consensus
-22.95,Consensus
-22.79,Consensus
-22.10,Consensus
-21.90,Consensus
-21.50,Consensus
-21.03,Consensus
-20.17,Consensus
-18.55,Consensus
-18.38,Consensus
-18.09,Consensus
-17.22,Consensus
-17.00,Consensus
-16.73,Consensus
-16.51,Consensus
-16.29,Consensus
-15.40,Consensus
-15.00,Consensus
-14.37,Consensus
-14.09,Consensus
-13.93,Consensus
-13.42,Consensus
-13.32,Consensus
-12.39,Consensus
-12.24,Consensus
-12.24,Consensus
-12.06,Consensus
-11.57,Consensus
-11.48,Consensus
-10.94,Consensus
-10.93,Consensus
-10.88,Consensus
-10.71,Consensus
-10.44,Consensus
-10.40,Consensus
-10.38,Consensus
-9.54,Consensus
-9.09,Consensus
-8.96,Consensus
-8.89,Consensus
-7.79,Consensus
-7.45,Consensus
-7.42,Consensus
-7.36,Consensus
-7.32,Consensus
-7.25,Consensus
-7.15,Consensus
-6.80,Consensus
-6.80,Consensus
-6.52,Consensus
-6.41,Consensus
-6.12,Consensus
-5.73,Consensus
-5.62,Consensus
-5.56,Consensus
-5.42,Consensus
-5.41,Consensus
-5.37,Consensus
-5.29,Consensus
-4.90,Consensus
-4.88,Consensus
-4.80,Consensus
-4.32,Consensus
-4.15,Consensus
-4.01,Consensus
-3.98,Consensus
-3.97,Consensus
-3.87,Consensus
-3.70,Consensus
-3.25,Consensus
-2.42,Consensus
-1.56,Consensus
-1.50,Consensus
-1.22,Consensus
-0.96,Consensus
-0.39,Consensus
0.12,Consensus
0.49,Consensus
0.67,Consensus
0.88,Consensus
1.13,Consensus
1.28,Consensus
1.48,Consensus
1.70,Consensus
2.00,Consensus
2.30,Consensus
2.83,Consensus
3.31,Consensus
4.18,Consensus
5.43,Consensus
5.89,Consensus
5.93,Consensus
6.66,Consensus
6.75,Consensus
7.09,Consensus
7.25,Consensus
7.76,Consensus
8.53,Consensus
8.98,Consensus
9.02,Consensus
9.27,Consensus
12.13,Consensus
12.34,Consensus
18.08,Consensus
20.47,Consensus
20.51,Consensus
21.41,Consensus
22.42,Consensus
26.99,Consensus
38.20,Consensus
46.27,Consensus
69.35,Consensus
-75.61,Consensus
-74.92,Consensus
-71.23,Consensus
-66.70,Consensus
-65.99,Consensus
-60.72,Consensus
-57.83,Consensus
-56.62,Consensus
-54.69,Consensus
-54.58,Consensus
-48.13,Consensus
-46.09,Consensus
-45.87,Consensus
-44.03,Consensus
-42.11,Consensus
-41.43,Consensus
-36.37,Consensus
-33.94,Consensus
-31.39,Consensus
-31.35,Consensus
-30.96,Consensus
-30.10,Consensus
-28.72,Consensus
-27.95,Consensus
-27.36,Consensus
-23.97,Consensus
-23.48,Consensus
-21.85,Consensus
-21.43,Consensus
-20.80,Consensus
-20.21,Consensus
-18.68,Consensus
