OP Growth,Return,Year
202.86,18.4,2012
139.33,18.33,2013
-10.05,18.32,2005
5.76,18.25,2006
-6.16,18.02,2006
26.24,18,2006
33.61,17.83,2008
56.91,17.81,2005
-36.78,17.43,2003
-53.18,17.35,2005
132.93,17.28,2014
24.64,17.26,2003
278.94,17.25,2011
0.18,17.22,2013
-21.04,16.99,2006
21.9,16.85,2011
71.73,16.79,2006
17.38,16.77,2012
4.78,16.67,2012
8.04,16.6,2006
56.79,16.59,2011
-51.35,16.56,2012
9.46,16.37,2006
50.21,16.3,2006
-24.48,16.22,2013
-39.4,15.94,2014
7.62,15.92,2006
25.12,15.71,2006
-43.87,15.71,2005
11.72,15.62,2019
16.58,15.58,2003
5.93,15.56,2013
20.47,15.52,2008
-8.31,15.45,2011
7.58,15.4,2012
-40.75,15.38,2012
34.19,15.36,2012
56.18,15.34,2006
56.45,15.3,2008
-81.74,15.18,2003
41.28,15.01,2013
17.76,14.96,2013
-9.07,14.95,2006
472.81,14.93,2019
-73.87,14.78,2006
22.4,14.62,2013
-14.98,14.58,2003
0.1,14.44,2013
-138.25,14.41,2005
15.33,14.27,2006
11.82,14.25,2011
45.28,14.16,2012
-17.04,13.94,2012
10.56,13.91,2011
52.98,13.88,2019
-12.19,13.85,2003
11.05,13.83,2012
10.11,13.83,2006
-49.75,13.67,2012
-56.35,13.62,2003
191.64,13.54,2011
22.42,13.54,2008
40.74,13.46,2006
-62.29,13.39,2012
31.55,13.37,2013
33.64,12.98,2003
51.68,12.94,2006
-5.13,12.89,2019
-7.68,12.89,2005
-3.13,12.88,2012
37,12.85,2019
11.79,12.84,2012
3.43,12.8,2014
2.14,12.75,2013
103.44,12.74,2006
-19.02,12.62,2019
-3.33,12.5,2012
49.96,12.35,2012
-70.43,12.29,2005
0.07,12.22,2006
-5.68,12.22,2005
-1.41,12.19,2013
60.33,12.18,2014
3.32,12.17,2006
72.89,12.09,2011
12.35,12.09,2006
10.89,12.07,2006
-46.45,12.03,2019
17.68,12.02,2014
-52.6,12.01,2019
-2.04,11.97,2013
-44.44,11.79,2012
-2.5,11.74,2003
-55.37,11.73,2012
-347.58,11.57,2003
-17.59,11.25,2003
-46.46,11.22,2003
15.73,11.21,2003
553.33,11.17,2006
60.57,10.88,2014
15.75,10.88,2006
-21.06,10.88,2006
16.97,10.78,2011
29.85,10.73,2005
21.26,10.66,2006
-9.59,10.64,2005
-13.69,10.52,2005
-25.91,10.5,2012
-37.89,10.5,2006
983.85,10.45,2014
-57.07,10.3,2005
12.89,10.27,2019
9.85,10.19,2006
-75.84,10.13,2005
21.21,10.04,2014
11.46,10.03,2011
76.47,9.95,2011
41.51,9.95,2006
52.84,9.75,2011
9.84,9.49,2005
27.54,9.35,2012
-16.41,9.32,2005
-168.87,9.22,2014
81.57,9.07,2014
-27.71,9.01,2011
20.9,9,2011
124.58,8.72,2012
-0.78,8.72,2011
62.93,8.36,2011
76.42,8.35,2012
-6.64,8.16,2013
-39.42,8.12,2005
119.54,8.11,2011
