Class,Return,Leverage
Equity,70.2 ,
Equity,70.2 ,
Equity,70.2 ,
Equity,70.1 ,
Equity,70.1 ,
Equity,69.9 ,Short
Equity,69.9 ,
Equity,69.9 ,
Equity,69.8 ,Long
Equity,69.8 ,
Equity,69.8 ,
Equity,69.7 ,
Equity,69.7 ,
Equity,69.7 ,
Equity,69.7 ,
Equity,69.6 ,
Equity,69.6 ,
Commodities,69.5 ,
Equity,69.5 ,
Equity,69.5 ,
Equity,69.5 ,
Equity,69.4 ,
Equity,69.4 ,
Equity,69.3 ,Short
Equity,69.3 ,
Equity,69.2 ,
Equity,69.0 ,
Equity,69.0 ,
Equity,68.9 ,
Equity,68.9 ,
Equity,68.8 ,
Equity,68.8 ,
Equity,68.8 ,
Commodities,68.7 ,Long
Equity,68.7 ,
Equity,68.7 ,
Alternatives,68.6 ,
Equity,68.6 ,
Equity,68.6 ,
Equity,68.2 ,
Equity,68.2 ,
Equity,68.2 ,
Equity,68.1 ,
Equity,68.1 ,
Equity,68.1 ,
Equity,68.1 ,
Equity,68.0 ,
Equity,68.0 ,
Equity,68.0 ,
Equity,68.0 ,
Equity,67.9 ,
Equity,67.9 ,
Equity,67.8 ,
Equity,67.7 ,
Equity,67.6 ,
Equity,67.6 ,
Equity,67.6 ,
Equity,67.6 ,
Equity,67.5 ,
Equity,67.5 ,
Equity,67.4 ,
Equity,67.4 ,
Commodities,67.3 ,
Equity,67.3 ,
Equity,67.1 ,
Equity,67.1 ,
Equity,67.1 ,
Equity,67.1 ,
Equity,67.0 ,
Equity,67.0 ,
Commodities,66.9 ,
Equity,66.9 ,
Alternatives,66.8 ,
Equity,66.8 ,Long
Equity,66.7 ,
Fixed Income,66.7 ,
Equity,66.6 ,
Equity,66.6 ,
Equity,66.5 ,
Equity,66.3 ,
Equity,66.3 ,
Equity,66.3 ,
Equity,66.3 ,
Fixed Income,66.3 ,
Equity,66.2 ,
Equity,66.1 ,Long
Equity,66.1 ,
Equity,66.1 ,
Equity,66.1 ,
Equity,66.1 ,
Equity,65.9 ,
Equity,65.8 ,Short
Equity,65.8 ,
Equity,65.8 ,
Equity,65.8 ,
Equity,65.7 ,
Equity,65.7 ,
Equity,65.7 ,
Commodities,65.5 ,
Equity,65.5 ,
Equity,65.5 ,
Commodities,65.4 ,Short
Equity,65.4 ,
Equity,65.3 ,
Equity,65.3 ,
Equity,65.2 ,
Equity,65.2 ,
Equity,65.2 ,
Equity,65.1 ,
Equity,65.0 ,
Equity,65.0 ,
Equity,65.0 ,
Equity,64.9 ,
Equity,64.8 ,
Equity,64.7 ,
Equity,64.7 ,
Equity,64.6 ,
Equity,64.6 ,
Equity,64.5 ,
Equity,64.5 ,
Commodities,64.4 ,
Commodities,64.4 ,
Equity,64.4 ,
Equity,64.4 ,
Equity,64.3 ,Long
Equity,64.3 ,
Equity,64.1 ,
Equity,64.1 ,
Equity,64.0 ,
Equity,64.0 ,
Equity,64.0 ,
Commodities,63.9 ,
Commodities,63.8 ,
Equity,63.8 ,Short
Equity,63.8 ,
Equity,63.8 ,
Equity,63.8 ,
Commodities,63.7 ,
Equity,63.7 ,
Equity,63.6 ,
Equity,63.6 ,
Equity,63.5 ,
Equity,63.5 ,
Equity,63.4 ,
Equity,63.3 ,
Equity,63.3 ,
Equity,63.2 ,
Equity,63.1 ,Short
Equity,63.1 ,
Equity,63.1 ,
Equity,63.1 ,
Equity,63.1 ,
Equity,63.0 ,
Equity,63.0 ,
Equity,63.0 ,
Equity,62.9 ,
Equity,62.9 ,
Equity,62.9 ,
Equity,62.8 ,
Equity,62.7 ,
Equity,62.6 ,
Equity,62.6 ,
Equity,62.6 ,
Equity,62.5 ,
Equity,62.4 ,
Equity,62.4 ,
Equity,62.4 ,
Equity,62.4 ,
Equity,62.4 ,
Equity,62.4 ,
Equity,62.3 ,
Equity,62.3 ,
Equity,62.3 ,
Equity,62.3 ,
Equity,62.3 ,
Equity,62.1 ,
Equity,61.9 ,
Equity,61.9 ,
Equity,61.8 ,Long
Equity,61.8 ,
Equity,61.7 ,Long
Equity,61.7 ,
Equity,61.7 ,
Equity,61.7 ,
Equity,61.6 ,
Equity,61.6 ,
Equity,61.6 ,
Equity,61.6 ,
Equity,61.6 ,
Equity,61.5 ,
Commodities,61.4 ,
Equity,61.4 ,
Equity,61.3 ,
Equity,61.3 ,
Equity,61.3 ,
Equity,61.2 ,
Equity,61.1 ,
Equity,61.1 ,
Equity,61.0 ,
Equity,61.0 ,
Equity,60.9 ,
Equity,60.8 ,
Equity,60.8 ,
Equity,60.7 ,
Equity,60.6 ,Short
Equity,60.6 ,
Equity,60.6 ,
Equity,60.6 ,
Equity,60.6 ,
Equity,60.5 ,
Equity,60.5 ,
Equity,60.5 ,
Equity,60.5 ,
Equity,60.4 ,
Equity,60.3 ,
Equity,60.3 ,
Equity,60.3 ,
Equity,60.3 ,
Alternatives,60.1 ,Long
Equity,60.1 ,
Equity,60.1 ,
Equity,60.1 ,
Commodities,60.0 ,
Equity,60.0 ,
Equity,60.0 ,
Equity,59.9 ,
Equity,59.9 ,
Equity,59.9 ,
Equity,59.8 ,
Equity,59.8 ,
Equity,59.8 ,
Equity,59.7 ,
Equity,59.6 ,
Equity,59.6 ,
Equity,59.6 ,
Equity,59.5 ,
Equity,59.5 ,
Equity,59.5 ,
Equity,59.5 ,
