Date,MKF500,Value,Growth,KOSPI200
2005-02-04,165.00,387.28,148.02,165.82
2005-02-11,167.44,400.03,150.08,167.93
2005-02-18,173.99,422.23,155.61,174.20
2005-02-25,175.99,442.36,155.07,176.53
2005-03-04,178.36,473.11,158.40,178.55
2005-03-11,179.82,472.95,160.76,180.41
2005-03-18,172.18,439.97,152.33,173.37
2005-03-25,169.87,430.92,151.12,170.98
2005-04-01,172.20,435.50,153.77,173.45
2005-04-08,174.35,438.42,155.07,175.58
2005-04-15,166.18,420.98,148.25,167.34
2005-04-22,164.38,419.58,145.73,165.91
2005-04-29,158.70,403.74,139.20,160.74
2005-05-06,164.11,417.65,143.63,165.77
2005-05-13,161.01,403.34,140.16,162.50
2005-05-20,166.26,414.72,143.82,168.17
2005-05-27,167.52,420.60,147.13,169.36
2005-06-03,170.28,430.56,150.08,171.84
2005-06-10,172.56,442.30,152.75,174.55
2005-06-17,174.82,449.24,151.92,176.80
2005-06-24,174.59,461.02,151.49,176.46
2005-07-01,177.25,478.87,154.93,178.52
2005-07-08,178.61,475.19,158.04,179.47
2005-07-15,185.01,488.79,162.75,186.58
2005-07-22,187.01,494.94,163.39,189.16
2005-07-29,194.00,515.94,169.20,195.93
2005-08-05,189.45,506.33,165.16,192.34
2005-08-12,196.87,527.62,173.25,199.64
2005-08-19,189.94,514.00,166.31,192.32
2005-08-26,189.39,516.18,166.49,191.88
2005-09-02,194.69,528.08,169.21,197.27
2005-09-09,201.11,540.16,175.07,204.16
2005-09-16,206.07,549.82,179.07,208.54
2005-09-23,206.03,562.63,179.50,208.33
2005-09-30,213.31,590.59,186.90,215.38
2005-10-07,209.20,587.29,183.61,211.07
2005-10-14,207.08,588.77,184.26,208.45
2005-10-21,206.03,584.84,181.68,208.09
2005-10-28,198.62,570.47,175.87,200.34
2005-11-04,213.09,594.59,188.48,215.01
2005-11-11,219.17,609.53,192.55,221.20
2005-11-18,221.81,619.04,196.73,223.84
2005-11-25,225.20,655.51,199.05,226.26
2005-12-02,228.22,655.40,206.25,229.06
2005-12-09,230.21,650.79,210.60,231.25
2005-12-16,230.36,656.81,208.90,231.65
2005-12-23,237.40,661.79,216.80,239.38
2005-12-30,240.59,671.99,219.30,242.56
2006-01-06,246.66,704.98,221.15,247.26
2006-01-13,247.34,720.17,217.92,248.41
2006-01-20,231.17,653.77,203.45,233.22
2006-01-27,242.22,682.45,210.38,244.21
2006-02-03,233.49,644.58,201.24,236.05
2006-02-10,234.20,651.19,203.36,236.06
2006-02-17,232.89,655.40,201.29,235.68
2006-02-24,239.18,675.85,209.99,241.91
2006-03-03,232.68,666.30,203.76,234.68
2006-03-10,230.73,671.81,202.87,232.90
2006-03-17,234.79,685.23,206.37,237.16
2006-03-24,231.72,667.10,201.79,233.57
2006-03-31,239.05,691.07,209.87,240.89
2006-04-07,246.94,713.32,216.67,248.76
2006-04-14,252.15,751.01,220.70,253.82
2006-04-21,256.20,760.89,226.66,257.28
2006-04-28,250.70,747.78,219.39,251.67
2006-05-05,254.62,769.88,219.92,255.61
2006-05-12,255.79,780.70,223.49,256.01
2006-05-19,242.72,725.64,210.36,243.25
2006-05-26,234.66,696.25,203.20,234.90
2006-06-02,232.49,684.95,199.85,232.19
2006-06-09,219.19,649.29,186.98,218.20
2006-06-16,223.70,671.57,193.35,222.90
2006-06-23,217.25,646.52,186.11,217.20
2006-06-30,229.92,675.97,198.18,228.91
2006-07-07,225.97,658.49,195.70,225.15
