Date,CM
2019-11-01,1971
2019-11-08,1997
2019-11-15,2041
2019-11-22,2008
2019-11-29,1994
2019-12-06,2017
2019-12-13,2027
2019-12-20,2060
2019-12-27,2081
2020-01-03,2077
2020-01-10,2124
2020-01-17,2178
2020-01-24,2161
2020-01-31,2095
2020-02-07,2162
2020-02-14,2189
2020-02-21,2190
2020-02-28,2064
2020-03-06,2140
2020-03-13,1952
2020-03-20,1780
2020-03-27,1873
2020-04-03,1940
2020-04-10,1972
2020-04-17,2046
2020-04-24,2125
2020-05-01,2161
2020-05-08,2265
2020-05-15,2324
2020-05-22,2446
2020-05-29,2468
2020-06-05,2504
2020-06-12,2526
2020-06-19,2551
2020-06-26,2654
2020-07-03,2783
2020-07-10,2984
2020-07-17,2840
2020-07-24,2768
2020-07-31,2895
2020-08-07,3040
2020-08-14,3070
2020-08-21,3052
2020-08-28,3218
2020-09-04,3258
2020-09-11,3143
2020-09-18,3125
2020-09-25,2970
2020-10-02,3037
2020-10-09,3035
2020-10-16,2928
2020-10-23,2880
2020-10-30,2778
2020-11-06,2987
2020-11-13,2913
2020-11-20,2934
2020-11-27,2970
2020-12-04,3069
2020-12-11,3051
2020-12-18,2997
2020-12-25,3032
2021-01-01,3122
2021-01-08,3353
2021-01-15,3248
2021-01-22,3424
2021-01-29,3355
2021-02-05,3500
2021-02-12,3573
2021-02-19,3656
2021-02-26,3490
2021-03-05,3453
2021-03-12,3523
2021-03-19,3577
2021-03-26,3592
2021-04-02,3598
2021-04-09,3745
2021-04-16,3904
2021-04-23,3840
2021-04-30,3695
2021-05-07,3748
2021-05-14,3683
2021-05-21,3818
2021-05-28,3902
2021-06-04,3919
2021-06-11,4088
2021-06-18,4255
2021-06-25,4274
2021-07-02,4296
2021-07-09,4285
2021-07-15,4379
