Date,KOSPI_TR
2019-10-04,2306.34
2019-10-11,2333.68
2019-10-18,2352.04
2019-10-25,2383.09
2019-11-01,2397.17
2019-11-08,2439.44
2019-11-15,2467.93
2019-11-22,2399.2
2019-11-29,2383.23
2019-12-06,2376.26
2019-12-13,2477.17
2019-12-20,2515.89
2019-12-27,2553.45
2020-01-03,2521.3
2020-01-10,2555.97
2020-01-17,2607.15
2020-01-24,2602
2020-01-31,2454.74
2020-02-07,2562.4
2020-02-14,2599.05
2020-02-21,2505.52
2020-02-28,2301.83
2020-03-06,2363.49
2020-03-13,2052.12
2020-03-20,1814.23
2020-03-27,1990.07
2020-04-03,2002.78
2020-04-10,2159.8
2020-04-17,2222.28
2020-04-24,2192.68
2020-05-01,2260.65
2020-05-08,2258.64
2020-05-15,2237.02
2020-05-22,2286.75
2020-05-29,2355.77
2020-06-05,2532.36
2020-06-12,2474.82
2020-06-19,2485.28
2020-06-26,2477.54
2020-07-03,2504.42
2020-07-10,2501.91
2020-07-17,2561.19
2020-07-24,2560.31
2020-07-31,2617.23
2020-08-07,2736.28
2020-08-14,2801.04
2020-08-21,2681.31
2020-08-28,2738.56
2020-09-04,2754.17
2020-09-11,2787.24
2020-09-18,2805.51
2020-09-25,2650.17
2020-10-02,2711.79
2020-10-09,2786.56
2020-10-16,2727.85
2020-10-23,2750.31
2020-10-30,2641.19
2020-11-06,2815.19
2020-11-13,2905.24
2020-11-20,2974.71
2020-11-27,3067.85
2020-12-04,3181.8
2020-12-11,3226.77
2020-12-18,3229.24
2020-12-25,3269.65
2021-01-01,3385.8
2021-01-08,3714.2
2021-01-15,3636.09
2021-01-22,3700.58
2021-01-29,3506.85
2021-02-05,3677.02
2021-02-12,3653.4
2021-02-19,3661.71
2021-02-26,3550.19
2021-03-05,3565.85
2021-03-12,3599
2021-03-19,3598.39
2021-03-26,3602.3
2021-04-02,3691.7
2021-04-09,3714.32
2021-04-16,3793.47
2021-04-23,3778.63
2021-04-30,3733.36
2021-05-07,3791.87
2021-05-14,3739.84
2021-05-21,3743.76
2021-05-28,3782.11
2021-06-04,3843
2021-06-11,3853.95
