DPS,EBIT,FCF,NetDebt_to_Sales,DPS_E,EBIT_E,DPS_Derection
100,115.15,29.43,18.07,,,-1
150,115.39,46.57,11.51,,144,-1
50,115.43,3.43,27.31,,,-1
170,115.8,142.8,36.69,,,-1
,115.95,-9.52,2.94,,,-1
300,116,117.56,3.76,,134,-1
150,117.21,186.63,5.76,,,-1
90,117.34,105.8,4.74,,,-1
120,118.45,56.12,9.44,140,164.19,-1
50,118.7,-379.62,54.84,,,-1
,118.71,88.95,34.82,,,-1
,121.91,113.72,90.62,,,-1
250,122.83,24.4,62.93,,,-1
2000,125.36,-430.57,6.18,1698,734.91,-1
138,127.28,44.38,36,,,-1
150,127.45,-29.6,13.63,,,-1
60,128.25,98.92,2.66,120,249,-1
,128.64,217.74,18.49,205,307.5,-1
75,128.92,179.44,33.46,,,-1
100,129.93,50.69,17.33,150,159,-1
30,130.34,277.69,1.91,68,222.24,-1
150,131.37,184.46,9.22,,,-1
50,131.68,-282.12,20.34,,,-1
350,131.8,130.21,,509,245.67,-1
400,131.95,356.7,46.47,,,-1
125,132.34,-54.06,67.23,119,345,-1
45,134.29,32.95,25.69,,,-1
120,134.59,353.59,6.6,100,112,-1
150,135.15,-613.08,89.86,,,-1
1500,135.48,398.87,22.47,,,-1
1500,135.89,571.69,26.32,,,-1
250,136.63,134.36,8.41,,,-1
606,137.25,106.3,7.86,245,252.41,-1
300,138.26,212.79,3.75,300,320,-1
150,138.83,-65.29,24.53,,,-1
100,139.25,-38.11,6.56,,,-1
110,139.93,-326.56,16.66,100,290,-1
600,141.71,120.67,6.56,500,153.22,-1
160,142.06,-220.86,12.41,,,-1
250,142.82,100.75,33.17,,,-1
250,142.94,110.61,32.57,,,-1
,143.44,277.55,45.35,,,-1
400,143.55,132.72,0.2,,,-1
50,143.94,-380,31.26,75,220.61,-1
,144.26,662.1,23.91,,74.75,-1
1500,144.62,245.29,17.09,,,-1
150,145.75,143.69,3.76,200,178.32,-1
175,146.19,58.23,2.56,125,205,-1
1250,148.3,-57.07,2.07,,,-1
50,148.41,-60.83,81.2,,,-1
500,148.43,595.76,52.21,968,459.15,-1
4300,149.06,87.53,14.43,,,-1
1250,150.75,1427.32,2.95,1250,90,-1
550,150.86,-270.56,0.76,,,-1
1750,150.87,-166.17,9.19,2000,419,-1
,151.47,-114.23,16.04,,309.65,-1
300,151.51,9.99,3.52,250,220.33,-1
,152.42,-460.98,49.45,,176.48,-1
50,152.6,-588.73,30.32,,,-1
65,152.6,141.66,5.13,64,236.51,-1
150,152.66,53.88,20.06,,,-1
350,152.69,437.13,46.18,,,-1
500,153.89,101.59,4.38,,,-1
200,154.19,181.55,41.18,,,-1
,155.37,395.85,3.38,,,-1
75,155.44,-39.8,1.89,110,196.17,-1
,155.6,-128.97,53.7,,,-1
1000,156.01,-87.64,39.06,750,364.97,-1
1000,156.19,-456.07,50.67,1000,325.2,-1
80,156.49,-58.2,21.89,,,-1
140,156.89,167.07,13.15,,,-1
300,157.12,112.66,0.08,,,-1
25,157.85,-65.78,22.4,35,224.5,-1
750,158.63,-168.43,6.07,,,-1
130,158.79,200.9,3.36,,,-1
150,158.84,-49.89,33.35,,,-1
200,160.82,-213.41,19.86,185,292.75,-1
400,161.71,26.1,10.75,300,215,-1
500,162.98,-83.21,14.16,,,-1
,164.72,147.05,39.11,,,-1
180,166.04,123.9,0.09,150,164.61,-1
,166.08,283.7,24.75,,,-1
,167.01,70.74,13.09,,,-1
150,167.12,54,5.01,,,-1
175,167.57,-64.06,23.27,,,-1
750,168.12,233.38,9.73,,,-1
500,168.49,166.73,15.6,,,-1
500,168.84,-785.25,67.31,,,-1
54,168.88,-73.89,58.34,,332,-1
75,168.97,19.41,26,,,-1
800,169.53,7.55,4.56,,,-1
,170.5,194.2,29.55,,,-1
,170.9,37.02,0.52,,195.28,-1
150,170.99,-141.08,12.95,,,-1
500,171.14,235.48,8.86,,,-1
120,171.22,53.29,11.28,193,197.87,-1
120,171.56,-46.48,,100,247.5,-1
60,171.77,-157.74,46.6,,,-1
150,171.89,137.19,11.65,,,-1
307,171.98,35.93,,,,-1
20,172.47,39.73,26.03,,,-1
450,172.6,-7.28,23.22,,,-1
700,173.18,141.14,18.38,,,-1
80,173.42,1055.74,15.52,,254,-1
70,173.74,-10.55,22.21,,,-1
110,174.06,327.39,0.71,,,-1
100,174.37,-420.74,26.19,100,292,-1
250,174.37,323.86,20.58,,,-1
2000,175.41,110.8,31.37,,,-1
65,175.78,46.71,27.13,,,-1
350,176.95,181.97,,124,224.84,-1
,176.99,426.06,26.89,250,290,-1
1000,178.56,-83.25,15.29,2000,274.12,-1
198,178.6,-88.95,11.66,,,-1
,179.65,-120.84,15.55,,310,-1
160,179.66,-23.13,12.92,185,258.5,-1
400,179.75,172.95,48.08,,199.5,-1
750,179.85,35.83,0.09,,,-1
,181.27,90.62,20.13,,,-1
25,182.41,-186.01,115.84,,,-1
,182.45,62.12,21.97,,,-1
60,182.52,364.53,47.97,,,-1
750,183.3,-8.18,15.95,,,-1
,184.51,207.75,11.09,,,-1
,185.09,494.5,21.98,,391,-1
1800,185.45,54.42,11.5,,,-1
600,186.09,311.33,41.1,,,-1
198,187.4,-122.37,5.66,,,-1
3000,189,-143.43,26.97,,,-1
150,189.37,77.94,37.89,,,-1
200,189.71,-40.11,28.86,,,-1
280,189.95,-185.72,55.5,,,-1
,190.12,-149.18,38.06,,220,-1
130,190.45,-184.14,133.87,90,237,-1
150,191.37,145.39,9.68,153,261.67,-1
500,191.65,-180.47,39.83,,,-1
250,191.93,171.4,23.55,,,-1
250,192.81,170.94,11.63,,,-1
500,194.82,371.85,32.73,560,889.47,-1
500,195.08,327.77,10,,,-1
1500,196.26,225.55,18.08,808,150,-1
200,196.35,-300.48,22.38,,,-1
2000,198.02,63.94,19.78,1700,302.72,-1
1500,198.78,608.44,34.67,,,-1
250,198.87,104.38,10.93,,,-1
90,201.77,150.26,38.97,87,371.75,-1
80,201.95,-153.96,17.87,200,304.73,-1
750,202.88,186.32,11.05,,,-1
500,203.1,-419.69,10.59,,368,-1
500,204.08,119.65,51.41,,,-1
500,204.52,511.71,,,,-1
,205.28,1593.58,44.45,,,-1
,206.36,214.37,47.13,,,-1
300,206.4,326.97,7.59,,,-1
750,206.53,-66.19,78.16,,419,-1
750,207.96,31.06,0.02,,219,-1
,208.34,988.61,75.32,,,-1
90,209.45,290.12,14.8,88,327.35,-1
261,209.97,-93.74,10.09,,266.7,-1
210,210.89,892.52,129.81,,,-1
250,211.48,187.89,24.21,,,-1
,211.59,922.59,10.01,,,-1
500,211.73,208.03,3.59,200,,-1
100,212.17,810.8,18.75,,,-1
200,212.25,142.92,11.4,,,-1
7,212.44,192.95,30.69,9,299,-1
25,213.03,-11.77,79.22,13,559,-1
1000,213.47,316.87,105.65,,,-1
500,214.45,241.58,58.08,450,244.13,-1
50,215.24,-7.65,16.19,,,-1
150,215.25,-138.68,66.88,,,-1
,217.93,-204.75,28.94,,446,-1
450,218.36,64.94,33.51,,,-1
500,219.56,545.51,8.02,500,507.93,-1
,220.6,402.9,118.51,,,-1
100,221.03,365.24,12.15,,,-1
1750,221.43,1052.63,42.8,,,-1
250,222.91,-39.62,6.41,,,-1
300,222.99,69.99,,300,159.14,-1
135,223.07,162.15,9.51,,,-1
,223.6,730.09,29.63,,,-1
100,224.89,254.86,59.27,150,319.5,-1
165,225.74,61.77,8.66,,,-1
250,225.76,7.38,23.77,,,-1
750,226.52,229.62,,900,380.19,-1
75,226.73,-258.31,13.31,100,283,-1
450,227.03,69.53,29.25,,,-1
750,227.06,1071.57,16.26,,,-1
500,229.07,-1004.78,80.41,400,438.1,-1
60,229.71,320.53,23.93,,,-1
50,230.76,-12.6,35.12,,,-1
200,230.85,-30.51,,150,253,-1
180,231.53,257.57,6.19,,,-1
250,231.92,173.17,0.2,300,281.1,-1
750,232.88,73.13,,,,-1
100,233.02,188.51,16.61,,246.33,-1
200,233.69,156.37,15.89,,,-1
220,233.9,83.89,23.39,,,-1
750,234.46,198.16,7.13,500,564.84,-1
1700,234.62,135,,,,-1
200,235.1,-39.75,16.6,,,-1
100,235.66,275.64,20.52,,,-1
50,236.58,289.48,128.88,50,289,-1
,238.1,-199.78,29.98,,,-1
500,238.68,198.64,32.49,518,398.97,-1
150,238.83,135.86,3.42,,428,-1
900,240.02,253.25,6.48,960,351.44,-1
160,240.99,32.13,17.01,260,380,-1
,241.85,0.39,19.14,,,-1
80,242.34,128.7,59.43,,,-1
,243.27,1060.77,101.95,,,-1
600,243.8,63.5,4.15,,,-1
450,243.85,117.3,,317,292.36,-1
200,243.85,367.32,0.61,200,418.75,-1
1500,243.91,514.79,25.07,,,-1
750,243.92,-23.17,9.91,1200,448.5,-1
,244.33,151.96,57.21,100,332,-1
500,245.14,-373.56,23.59,,,-1
300,245.49,55.66,10.38,,,-1
,245.59,259.98,0.18,,,-1
1000,246.92,-180.12,0.02,,,-1
450,247.99,326.68,22.71,,,-1
1300,248.69,23.85,14.78,1555,537.45,-1
1600,248.89,293.58,1.37,,,-1
60,250.29,-331.43,20.73,60,260,-1
375,251.12,292.01,21.45,,,-1
750,251.18,337.5,45.54,,,-1
100,251.91,40.55,17.9,,344,-1
200,254.14,236.13,,220,267.75,-1
400,255.54,327.14,24.74,,,-1
210,256.07,30.14,3.92,240,416,-1
,256.22,43.58,38.95,,238.02,-1
125,259,175.63,79.62,,,-1
175,259.19,350.77,5.78,,,-1
200,260.22,105.64,37.06,,,-1
,261.47,104.19,37.16,,,-1
1400,262.44,226.01,1.08,1650,398.33,-1
500,264.28,-674.65,40.28,,,-1
800,264.57,252.41,19.27,,,-1
300,265.6,302.6,17.24,300,704,-1
1500,267.11,346.37,44.97,,,-1
500,267.2,324.67,29.06,,,-1
,267.72,2153.45,37.64,1886,1154.52,-1
130,267.89,-339.7,17.06,70,500,-1
600,270.4,27.23,34.67,600,389.56,-1
250,270.69,324.44,0.93,245,392,-1
300,270.98,130.6,7.4,125,388,-1
5000,271.72,-10.34,0.09,,,-1
850,272.21,488.03,,873,407.62,-1
2000,272.57,387.45,20.41,,,-1
100,272.85,313.2,34.44,,,-1
1250,272.89,320.57,4.4,1250,376,-1
175,272.94,63.01,0.15,319,341.05,-1
300,273.43,121.94,,300,314.5,-1
500,274.83,-165.16,7.55,,,-1
1250,274.9,221.44,1.3,,,-1
200,275.52,-71.79,14.28,191,318.63,-1
600,275.96,6338.27,37.51,634,464.36,-1
1000,277.2,375.1,,800,245,-1
150,278.19,415.83,56.14,,,-1
1000,280.34,-158.11,31.43,,,-1
500,280.38,112.12,0.53,297,335.7,-1
875,280.55,-185.26,1.85,,,-1
600,281.91,-126.98,53.47,533,417.67,-1
,282.33,9323.95,47.89,,2981,-1
450,283.43,323.76,25.88,430,285,-1
500,284.17,90.17,27.38,,,-1
350,287.06,28.67,11.98,350,447.68,-1
169,287.15,-77.48,5.57,,,-1
100,288.88,88.6,20.22,,380.5,-1
2000,289.19,60.22,6.38,,,-1
500,289.9,1516.63,34.47,500,1420,-1
2000,290.6,759.7,230.8,,,-1
750,290.63,319.27,41.33,,522,-1
,290.87,343.69,28.2,,,-1
250,291.28,-27.88,76.04,200,412.25,-1
260,291.48,-70.66,,226,358.17,-1
275,291.63,242.57,17.47,300,384.5,-1
120,291.74,305.46,5.89,,320,-1
25,292.25,493.69,,25,372,-1
350,294.2,208.66,0.23,11,338,-1
35,294.73,310.03,12.56,,435,-1
30,295.38,158.99,23.35,,,-1
500,295.8,20.49,4.41,,,-1
,297.34,187.57,477.53,,,-1
63,298.61,-180.94,49.08,,,-1
700,299.27,259.53,,,,-1
70,300.21,166.01,38.16,78,567,-1
,300.41,778.99,47.83,,,-1
500,300.62,-272.79,52.19,,,-1
750,302.25,564.37,,909,423.72,-1
,304.84,-147.16,47.55,,,-1
500,306.18,70.51,113.65,,421,-1
100,307.44,329.58,14.97,,,-1
160,308.98,66.35,31.23,,,-1
100,310,408.53,42.73,,,-1
,310.98,91.51,57.57,,452.38,-1
100,312.15,268.3,0.63,78,339.6,-1
300,312.76,273.13,0.97,300,334,-1
1500,313.29,535.67,10.7,,,-1
200,313.74,388.55,30.79,200,272.2,-1
1750,314.76,327.97,17.47,1625,614.17,-1
150,315.77,266.48,28.07,,,-1
500,316.91,-63.42,22.73,400,428,-1
210,317.07,246.37,3.41,210,,-1
125,320.21,899.78,91.18,,,-1
100,321.54,-10.94,18.56,,,-1
275,322.97,208.47,19.16,,,-1
150,325.04,-146.83,20.6,,,-1
100,325.92,39.9,6.4,100,399.67,-1
,326.1,145.67,28.04,,,-1
1650,326.22,448.31,1.49,,,-1
150,327.32,-53.07,8.16,187,608,-1
2500,327.98,-212.51,6.56,,,-1
8000,332.32,782.85,1.04,7603,450.37,-1
600,332.38,1205.77,21.18,600,473.75,-1
5,333.95,-19.92,30.33,,,-1
1000,333.97,216.76,,,464,-1
150,334.21,446.27,0.11,130,327,-1
45,334.57,-224.39,104.14,,,-1
700,335.45,-42.77,3.52,,227,-1
100,335.79,605.03,61.12,,,-1
400,337.42,107.97,36.76,400,225,-1
850,337.7,-234.85,26.39,,,-1
56,339.07,241.29,37.28,,,-1
350,339.77,1559.86,0.47,450,498,-1
600,339.87,466.24,7.94,600,460,-1
1000,339.94,-243.15,35.26,1000,548.11,-1
,339.95,-40.57,28.77,,,-1
120,341.01,434.72,30.01,,,-1
75,341.5,320.14,52.76,75,407.33,-1
80,341.99,84.19,0.46,100,541,-1
,342.08,3773.07,67.28,2250,1509.67,-1
164,342.15,229.12,14.42,150,402,-1
300,343.59,-150.55,17.26,400,625.33,-1
1400,344.11,-606.25,37.29,,721,-1
175,344.39,257.57,14.92,,,-1
,347.46,-283.86,39.06,,601.21,-1
500,348.54,254.85,226.5,300,590,-1
,350.51,141.51,3.53,,,-1
350,351.27,287.05,,,,-1
100,351.33,-260.65,0.51,,,-1
1200,351.38,478.24,5.47,,,-1
900,351.44,1022.23,2.35,,,-1
20,352.64,-283.56,23.38,,,-1
150,353,414.75,16.84,154,502.45,-1
250,354.12,-9.75,66.73,,,-1
150,354.71,349.21,58.9,,,-1
100,356.09,1063.09,34.32,200,678.8,-1
450,357.82,110.38,25.65,,,-1
1000,358.12,268.26,,,,-1
